,movieNm,openDt,scrnCnt,audiCnt
0,폴란드로 간 아이들,2018-10-31,8,2576
1,완벽한 타인,2018-10-31,18,3436
2,보헤미안 랩소디,2018-10-31,43,6919
3,나츠메 우인장: 세상과 연을 맺다,2018-10-31,108,7206
4,스윙키즈,2018-12-19,52,10538
5,마약왕,2018-12-19,33,7189
6,말모이,2019-01-09,108,22785
7,아쿠아맨,2018-12-19,21,5259
8,그린치,2018-12-19,515,11938
9,극장판 포켓몬스터 모두의 이야기,2018-12-19,335,6992
10,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,428,44580
11,내안의 그놈,2019-01-09,25,4807
12,그린 북,2019-01-09,349,12416
