,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
1351,부산행,1,-379313,-8618
1353,인천상륙작전,9,-493785,-5602
1355,제이슨 본,0,102086,11
1356,국가대표 2,4,-100270,-1597
1358,덕혜옹주,9,-249822,-3888
1360,터널,8,-675398,-5022
1362,마이 리틀 자이언트,0,0,0
1363,스타트렉 비욘드,0,29467,563
1365,라이트 아웃,0,4806,-338
1366,고스트버스터즈,0,6960,-112
1367,메카닉: 리크루트,0,68640,-73
1368,"고산자, 대동여지도",4,-22663,-2542
1369,밀정,9,-190096,-5981
1371,거울나라의 앨리스,0,-2024,41
1372,매그니피센트 7,7,-27232,-1981
1373,벤허,3,-22764,-1371
1385,브리짓 존스의 베이비,5,-76596,-1600
1386,아수라,7,-276173,-5600
1389,설리: 허드슨강의 기적,6,-78821,-1568
1391,맨 인 더 다크,7,-47504,-2816
1392,럭키,6,-220824,-5336
1395,미스 페레그린과 이상한 아이들의 집,1,-230666,-1291
1396,피터와 드래곤,2,-17093,-116
1397,바스티유 데이,5,-5228,-1234
1398,인페르노,7,-33962,-3134
1399,닥터 스트레인지,1,-50941,-5144
1401,혼숨,0,19285,-222
1402,스플릿,6,-45501,-2911
1404,가려진 시간,7,-25957,-2666
1406,위자: 저주의 시작,0,-30637,-302
1407,형,8,-121779,-4907
1409,신비한 동물사전,9,-157242,-6214
1411,미씽: 사라진 여자,8,-69125,-3650
1413,판도라,4,-154321,-4928
1419,잭 리처: 네버 고 백,0,8751,107
1421,"당신, 거기 있어줄래요",3,-63085,-3313
1423,마스터,9,-270653,-6623
1430,사랑하기 때문에,2,-48300,-1507
1432,로그 원: 스타워즈 스토리,7,-48191,-3129
1434,패신저스,0,48052,33
1437,어쌔신 크리드,-3,-11232,438
1438,얼라이드,0,-49791,198
1440,더 킹,0,125475,-160
1443,공조,0,13507,9
1444,레지던트 이블: 파멸의 날,-1,-32414,392
1445,컨택트,0,20367,-81
1446,조작된 도시,8,-141305,-4163
1447,트리플 엑스 리턴즈,-1,39232,716
1448,50가지 그림자: 심연,1,7757,138
1449,재심,0,7368,-513
1450,그레이트 월,0,14710,737
1451,더 큐어,-1,2654,253
1452,23 아이덴티티,0,23772,-1719
1453,싱글라이더,-1,10300,522
1454,존 윅 - 리로드,-1,-356,1
1455,핵소 고지,1,-4652,461
1456,로건,1,10627,-1623
1457,해빙,-1,346363,487
1458,히든 피겨스,4,-13265,-1265
1459,콩: 스컬 아일랜드,0,28944,-324
1460,프리즌,7,-104278,-4541
1462,비정규직 특수요원,0,9610,245
1463,보통사람,3,-21500,-2213
1464,원라인,4,-66654,-1829
1465,공각기동대 : 고스트 인 더 쉘,0,81292,532
1466,어느날,5,-37014,-1866
1467,라이프,3,-19172,-2011
1470,분노의 질주: 더 익스트림,0,61383,-306
1471,아빠는 딸,0,4043,-73
1472,임금님의 사건수첩,5,-153935,-4963
1473,특별시민,6,-147561,-5234
1474,보안관,9,-148490,-4286
1475,킹 아서: 제왕의 검,5,-80101,-1989
1477,가디언즈 오브 갤럭시 VOL. 2,-1,45870,-1882
1478,석조저택 살인사건,3,-59900,-1897
1479,에이리언: 커버넌트,0,89341,48
1480,불한당: 나쁜 놈들의 세상,6,-44775,-3459
1481,겟 아웃,1,-7530,-1371
1482,원더 우먼,0,24163,-444
1483,미이라,0,450219,-277
1484,하루,6,-55034,-3880
1491,악녀,0,15963,-351
1492,옥자,5,-11725,-321
1493,박열,9,-112029,-5345
1494,트랜스포머: 최후의 기사,8,-99243,-6996
1495,리얼,7,-19932,-2393
1496,스파이더맨: 홈 커밍,8,-251526,-9323
1497,택시운전사,4,-1089875,-8917
1498,플립,-1,-25227,-230
1500,47 미터,-1,-35451,-703
1501,덩케르크,0,69816,771
1502,군함도,7,-909748,-10326
1503,청년경찰,8,-500131,-5240
1504,애나벨 : 인형의 주인,7,-207118,-3446
1505,장산범,7,-75249,-2670
1506,혹성탈출: 종의 전쟁,-1,285095,1086
1507,브이아이피,9,-202963,-4189
1508,킬러의 보디가드,0,-88317,-636
1509,발레리안: 천 개 행성의 도시,1,-23682,-68
1510,아토믹 블론드,-2,4879,540
1511,살인자의 기억법,0,-199291,-984
1512,그것,0,-59905,-100
1513,아이 캔 스피크,6,-79768,-5356
1514,베이비 드라이버,0,-10607,-1484
1515,아메리칸 메이드,0,23418,260
1516,범죄도시,7,-365882,-4052
1518,남한산성,6,-421087,-5420
1519,킹스맨: 골든 서클,0,-137956,-909
1520,블레이드 러너 2049,3,-4270,-1646
1521,희생부활자,1,-16467,-2524
1522,부라더,6,-67078,-3908
1523,대장 김창수,6,-21660,-2511
1524,지오스톰,0,29826,-527
1525,토르: 라그나로크,0,-184225,-569
1526,침묵,-1,23879,152
1529,미옥,2,-14774,-2308
1530,해피 데스데이,1,-112537,-757
1531,채비,0,1989,80
1532,꾼,8,-468383,-7191
1534,저스티스 리그,0,-137391,-2725
1535,7호실,-1,3683,418
1536,기억의 밤,8,-146755,-3445
1537,오리엔트 특급 살인,0,-25648,-723
1538,반드시 잡는다,0,-7263,347
1539,어쌔신: 더 비기닝,-1,14782,344
1540,강철비,8,-230963,-5823
1541,스타워즈: 라스트 제다이,0,70720,547
1542,신과함께-죄와 벌,6,-1260631,-8766
1543,위대한 쇼맨,0,-107271,664
