,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
299,닌자 어쌔신,-3,57035,70
301,여배우들,5,-19520,-1013
305,모범시민,0,27849,343
307,전우치,7,-153165,-2853
315,아바타,0,-301945,-2037
321,셜록 홈즈,0,-10189,174
329,파르나서스 박사의 상상극장,-2,20680,573
331,앨빈과 슈퍼밴드2,3,-5000,-876
334,용서는 없다,6,-34116,-1320
336,나인,-2,6271,-247
341,주유소 습격사건 2,5,-20693,-1364
342,의형제,9,-110813,-2688
344,하모니,-1,28408,-12
348,식객2 : 김치전쟁,-2,28788,793
349,꼬마 니콜라,0,10505,316
352,퍼시 잭슨과 번개 도둑,-1,41248,55
353,평행이론,-1,18522,240
354,이상한 나라의 앨리스,0,26739,176
356,프롬 파리 위드 러브,-5,17123,574
357,셔터 아일랜드,-1,20223,-4
358,육혈포 강도단,-1,6333,274
359,그린 존,-2,21376,224
360,반가운 살인자,4,-10285,-1261
361,친정엄마,5,-12352,-938
363,베스트셀러,1,-2609,-9
364,블라인드 사이드,-2,-980,71
365,구르믈 버서난 달처럼,6,-149082,-2377
366,아이언맨 2,9,-104929,-4129
367,대한민국 1%,-3,30283,-1131
368,하녀,5,-101036,-2735
378,로빈 후드,0,14208,450
379,내 깡패 같은 애인,4,-12567,-946
380,페르시아의 왕자: 시간의 모래,-1,43115,587
381,방자전,2,76755,-45
384,엣지 오브 다크니스,1,25617,232
385,포화속으로,8,-65719,-2850
387,베스트 키드,2,-5000,-667
388,A-특공대,-1,27896,711
389,섹스 앤 더 시티 2,-1,22471,561
390,나잇&데이,7,-64608,-2011
391,파괴된 사나이,4,-30094,-1649
392,이클립스,7,-58398,-2416
395,마음이2,4,-20665,-950
396,이끼,-1,32548,671
399,고死 두 번째 이야기: 교생실습,2,-37886,-1558
400,오션스,3,-39138,-852
402,인셉션,0,-6535,-34
404,스텝 업 3D,4,-21959,-595
405,아저씨,9,-165038,-2427
410,솔트,0,-66490,-1294
411,토이 스토리 3,-2,66716,523
414,내니맥피 2: 유모와마법소동,0,505,75
415,악마를 보았다,-1,54621,493
417,라스트 에어벤더,-3,108996,464
418,피라냐,-2,35437,755
421,킬러스,-4,19869,688
423,해결사,5,-20970,-1521
426,시라노; 연애조작단,7,-182970,-2040
428,퀴즈왕,0,-54265,-792
429,레지던트 이블 4: 끝나지 않은 전쟁 3D,-1,-110699,-1379
430,무적자,4,-173620,-1522
431,방가? 방가!,7,-18979,-1381
432,적인걸: 측천무후의 비밀,6,-11680,-1329
437,먹고 기도하고 사랑하라,-4,24176,120
438,레터스 투 줄리엣,7,-11291,-781
442,심야의 F.M.,9,-36521,-1873
444,검우강호,0,-3034,-418
447,부당거래,0,27404,48
450,불량남녀,6,-12173,-1303
451,소셜 네트워크,4,-8141,-704
453,초능력자,0,28030,-92
456,언스토퍼블,0,-9280,-72
457,이층의 악당,5,-21044,-1281
459,워리어스 웨이,5,-10473,-1313
460,스카이 라인,-3,33411,502
461,쩨쩨한 로맨스,9,-57485,-1911
464,나니아 연대기: 새벽 출정호의 항해,0,11378,-1052
466,헬로우 고스트,8,-73298,-1939
472,김종욱 찾기,-1,7360,496
476,투어리스트,-3,50152,508
478,해리 포터와 죽음의 성물1,-1,80274,646
484,황해,6,-66705,-1823
488,라스트 갓파더,0,75915,711
492,트론: 새로운 시작,-2,21884,1293
494,심장이 뛴다,1,7036,47
496,러브 & 드럭스,-2,12294,225
497,시즌 오브 더 위치: 마녀 호송단,0,14717,170
498,조선명탐정 : 각시투구꽃의 비밀,7,-328919,-3357
499,글러브,-3,32667,840
501,평양성,8,-173121,-2332
502,걸리버 여행기,-1,-85136,-1484
503,상하이,0,-8549,70
504,아이들...,8,-61218,-1637
505,만추,5,-25509,-1183
517,아이 엠 넘버 포,-4,33977,515
518,블랙 스완,2,1587,193
520,컨트롤러,4,25916,-422
522,월드 인베이젼,0,38814,543
523,사랑이 무서워,-3,8492,719
524,킹스 스피치,8,-8564,-951
529,마이 블랙 미니드레스,5,-5449,-826
530,레드 라이딩 후드,-2,13459,507
531,위험한 상견례,4,-13527,-1776
532,줄리아의 눈,-4,8436,380
533,세상에서 가장 아름다운 이별,4,-12253,-1035
535,수상한 고객들,-1,6539,224
536,분노의 질주: 언리미티드,0,-13334,-195
538,체포왕,7,-19397,-1656
539,토르: 천둥의 신,0,-153096,328
540,써니,5,-39565,-1560
547,소스 코드,5,-23922,-1933
548,캐리비안의 해적: 낯선 조류,6,-71055,-2747
549,엑스맨: 퍼스트 클래스,8,-42621,-1744
552,화이트: 저주의 멜로디,3,-15244,-819
554,링컨 차를 타는 변호사,5,-15101,-736
556,슈퍼 에이트,-4,23862,664
558,풍산개,-1,18486,521
559,트랜스포머 3,8,-207428,-5771
562,고양이: 죽음을 보는 두 개의 눈,5,-19954,-1102
564,고지전,4,-79200,-2251
567,해리포터와 죽음의 성물2,0,111856,921
569,퀵,6,-60078,-1954
570,최종병기 활,6,-122427,-2259
571,혹성탈출: 진화의 시작,8,-32008,-2201
573,챔프,3,-33201,-1199
578,푸른소금,-2,41314,1021
579,가문의 영광4 - 가문의 수난,7,-130404,-2440
580,통증,4,-26501,-1273
581,파이널 데스티네이션5,-4,-4824,45
