,actor1,actorPower,movieNm,actor_var
182,제시 아이젠버그,509177,소셜 네트워크,182
183,엘리자베스 슈,505836,피라냐,183
184,줄리아 로버츠,500266,먹고 기도하고 사랑하라,184
185,김해숙,472009,친정엄마,185
186,김정은,462714,식객2 : 김치전쟁,186
187,덴젤 워싱턴,452320,언스토퍼블,187
188,손병호,440372,대한민국 1%,188
189,장동건,432072,워리어스 웨이,189
190,실베스터 스탤론,390438,익스펜더블,190
191,주윤발,371607,공자 춘추전국시대,191
192,박희순,331945,맨발의 꿈,192
193,애쉬튼 커처,322888,킬러스,193
194,제이든 스미스,287278,베스트 키드,194
195,애드리언 브로디,276536,프레데터스,195
196,에밀리 블런트,265409,울프맨,196
197,메릴 스트립,234083,사랑은 너무 복잡해,197
198,신경선,225955,폐가,198
199,윤정희,218514,시,199
200,마크 월버그,208660,러블리 본즈,200
201,엠마 톰슨,206674,내니맥피 2: 유모와마법소동,201
202,신하균,196937,페스티발,202
203,발리에리 르메르시,196670,꼬마 니콜라,203
204,멜 깁슨,193380,엣지 오브 다크니스,204
205,제프 브리지스,131307,트론: 새로운 시작,205
206,아마미 유키,184,남쪽으로 튀어,206
207,조쉬 더하멜,7784743,트랜스포머 3,207
208,유호정,7362657,써니,208
209,정유미,4662822,도가니,209
210,이안 맥쉐인,3130046,캐리비안의 해적: 낯선 조류,210
211,브라이언 콕스,2773794,혹성탈출: 진화의 시작,211
212,송새벽,2595625,위험한 상견례,212
213,로즈 번,2533852,엑스맨: 퍼스트 클래스,213
214,김수미,2368267,가문의 영광4 - 가문의 수난,214
215,강신일,1887731,글러브,215
216,박용우,1867849,아이들...,216
217,잭 블랙,1762071,걸리버 여행기,217
218,스텔란 스카스가드,1694562,토르: 천둥의 신,218
219,드웨인 존슨,1621973,분노의 질주: 언리미티드,219
220,미키 루크,1338411,신들의 전쟁,220
221,아론 에크하트,1307873,월드 인베이젼,221
222,미셸 모나한,1277690,소스 코드,222
223,우혜진,1118258,특수본,223
224,윤하,1059350,수상한 고객들,224
225,안젤라 랜스베리,980387,파퍼씨네 펭귄들,225
226,현빈,845845,만추,226
227,조승우,811772,퍼펙트 게임,227
228,콜린 퍼스,806248,킹스 스피치,228
229,황우슬혜,790954,화이트: 저주의 멜로디,229
230,정려원,700272,통증,230
231,김예론,672314,고양이: 죽음을 보는 두 개의 눈,231
232,티모시 올리펀트,654386,아이 엠 넘버 포,232
233,조나 힐,641099,머니볼,233
234,칼럼 블루,598365,콜롬비아나,234
235,앤 해서웨이,527077,러브 & 드럭스,235
236,조엘 코트니,472125,슈퍼 에이트,236
237,이안 그루퍼드,465039,생텀,237
238,공형진,360045,커플즈,238
239,라이언 필립,327612,링컨 차를 타는 변호사,239
240,김갑수,316990,세상에서 가장 아름다운 이별,240
241,윤은혜,313953,마이 블랙 미니드레스,241
242,공리,269157,상하이,242
243,데이비드 코에너,257193,파이널 데스티네이션5,243
244,벨렌 루에다,236365,줄리아의 눈,244
245,이민정,8817,원더풀 라디오,245
246,아누크 에메,2983,남과 여,246
247,클라크 게이블,2801,바람과 함께 사라지다,247
248,오군여,114,사랑에 대한 모든 것,248
249,로버트 레드포드,16,은밀한 유혹,249
250,송중기,6654390,늑대소년,250
251,앤드류 가필드,4853123,어메이징 스파이더맨,251
252,최민식,4719872,범죄와의 전쟁: 나쁜놈들 전성시대,252
253,진구,2940475,26년,253
254,조여정,2636320,후궁 : 제왕의 첩,254
255,마틴 프리먼,2605124,호빗: 뜻밖의 여정,255
256,고수,1730535,반창꼬,256
257,프랑수아 클뤼제,1720472,언터처블: 1%의 우정,257
258,류승범,1552055,용의자X,258
259,강지환,1346754,차형사,259
260,콜린 파렐,1219637,토탈 리콜,260
261,제레미 레너,1015711,본 레거시,261
262,조성현,1012223,가문의 영광5 - 가문의 귀환,262
263,유선,972962,돈 크라이 마미,263
264,누미 라파스,971482,프로메테우스,264
265,라이언 구즈만,953871,스텝업4 : 레볼루션,265
266,리즈 위더스푼,873396,디스 민즈 워,266
267,박보영,867386,미확인 동영상 : 절대클릭금지,267
268,샤를리즈 테론,636631,스노우 화이트 앤 더 헌츠맨,268
269,제니퍼 로렌스,607956,헝거게임: 판엠의 불꽃,269
270,조셉 고든 레빗,571922,루퍼,270
271,가이 피어스,462176,락아웃: 익스트림미션,271
272,박한별,426706,두 개의 달,272
273,데인 드한,384398,크로니클,273
274,벤자민 워커,344876,링컨: 뱀파이어 헌터,274
275,김현수,331760,무서운 이야기,275
276,페이지 오하라,145235,미녀와 야수,276
277,박신양,4753,박수건달,277
278,이완 맥그리거,2486,더 임파서블,278
279,강필선,396,꾼,279
280,,293,판도라,280
281,정연주,59,손님,281
282,류승룡,12811206,7번방의 선물,282
283,김수현,6959083,은밀하게 위대하게,283
284,장혁,3117859,감기,284
285,크리스 헴스워스,3039889,토르: 다크 월드,285
286,유오성,2969900,친구 2,286
287,레이첼 맥아담스,2856065,어바웃 타임,287
288,찰리 허냄,2539113,퍼시픽 림,288
289,여진구,2394453,화이: 괴물을 삼킨 아이,289
290,헨리 카빌,2182227,맨 오브 스틸,290
291,공유,2176752,용의자,291
292,이민기,1865195,연애의 온도,292
293,서교,1328888,미스터 고,293
294,유아인,1209363,깡철이,294
295,이시영,1201457,더 웹툰: 예고살인,295
296,니콜라스 홀트,1169839,웜 바디스,296
297,최승현,1048280,동창생,297
298,릴리 콜린스,571074,섀도우 헌터스: 뼈의 도시,298
299,박성웅,495522,무서운 이야기 2,299
300,김아중,480434,캐치미,300
301,서인국,451669,노브레싱,301
302,미아 와시코브스카,378874,스토커,302
303,제임스 프랭코,350563,오즈 그레이트 앤드 파워풀,303
304,최강희,334323,미나문방구,304
305,성룡,315305,차이니즈 조디악,305
306,정경호,270148,롤러코스터,306
307,천정명,252475,밤의 여왕,307
308,이제훈,225618,분노의 윤리학,308
309,테렌스 스탬프,217314,송 포 유,309
310,에단 호크,203940,비포 미드나잇,310
311,양동근,192347,응징자,311
312,이광수,181740,해양경찰 마르코,312
313,마동석,169064,노리개,313
314,저스틴 팀버레이크,151476,히든 카드,314
315,호와킨 피닉스,34571,마스터,315
316,연정훈,1258,좋은 친구들,316
317,우혜영,1057,또 하나의 약속,317
318,잉그리드 서린,35,침묵,318
319,김남길,8666046,해적: 바다로 간 산적,319
320,심은경,8657982,수상한 그녀,320
321,앤디 서키스,4002560,혹성탈출: 반격의 서막,321
322,딜런 오브라이언,2812427,메이즈 러너,322
323,조정석,2141155,나의 사랑 나의 신부,323
324,리차드 아미티지,2078698,인투 더 스톰,324
325,스칼렛 요한슨,1974893,루시,325
326,김우빈,1778083,기술자들,326
327,벤 애플렉,1764233,나를 찾아줘,327
328,송혜교,1624601,두근두근 내 인생,328
329,김희애,1619188,우아한 거짓말,329
330,레나 헤디,1593116,300: 제국의 부활,330
331,송승헌,1441973,인간중독,331
332,킷 해링턴,1373873,폼페이: 최후의 날,332
333,루크 에반스,1321751,드라큘라: 전설의 시작,333
334,이진성,989906,방황하는 칼날,334
335,조엘 키나만,979509,로보캅,335
336,김성균,970373,우리는 형제입니다,336
337,애나벨 월리스,926027,애나벨,337
338,염정아,812490,카트,338
339,쉐일린 우들리,749146,"안녕, 헤이즐",339
340,애런 존슨,709734,고질라,340
341,홍수민,676632,상의원,341
342,김다율(김아현),594871,패션왕,342
343,장한새,592435,황제를 위하여,343
344,치웨텔 에지오포,498043,노예 12년,344
345,강하늘,481696,소녀괴담,345
346,사사키 노조미,410644,주온 : 끝의 시작,346
347,메간 폭스,400329,닌자터틀,347
348,이 동 길,341634,하이힐,348
349,카렌 길런,279488,오큘러스,349
350,피어스 브로스넌,252444,노벰버 맨,350
351,케빈 코스트너,229673,쓰리데이즈 투 킬,351
352,윤상현,210777,덕수리 5형제,352
353,프레데릭 벨,190384,컬러풀 웨딩즈,353
354,마이클 더글라스,177938,라스트베가스,354
355,김상경,172652,아빠를 빌려드립니다,355
356,니콜 키드먼,9680,패딩턴,356
357,잭 오코넬,326,언브로큰,357
358,장 가뱅,93,함정,358
359,전지현,12705700,암살,359
360,김무열,6043784,연평해전,360
361,아놀드 슈왈제네거,3240370,터미네이터 제니시스,361
362,폴 러드,2841795,앤트맨,362
363,손현주,2192525,악의 연대기,363
364,이민호,2192276,강남 1970,364
365,한효주,2053435,뷰티 인사이드,365
366,이승기,1891993,오늘의 연애,366
367,베네딕트 컴버배치,1743963,이미테이션 게임,367
368,박해빛나,1165780,장수상회,368
369,오상철,1128288,성난 변호사,369
370,주원,1046015,그놈이다,370
371,스테파니 스콧,825517,인시디어스 3,371
372,진세연,472693,위험한 상견례 2,372
373,고아성,441208,오피스,373
374,마일즈 텔러,399667,판타스틱 4,374
375,제이슨 클락,332180,에베레스트,375
376,조니 웨스턴,266610,백 투 더 비기닝,376
377,조지 클루니,265810,투모로우랜드,377
378,유승호,224657,조선마술사,378
379,샐리 헤닝,219892,언프렌디드: 친구삭제,379
380,오지호,214539,연애의 맛,380
381,마이클 키튼,206241,버드맨,381
382,소메타니 쇼타,187291,기생수 파트1,382
383,톰 하디,179738,레전드,383
384,에드 스크레인,161245,트랜스포터: 리퓰드,384
385,루크 브레이시,776,포인트 브레이크,385
386,김정철,7049643,인천상륙작전,386
387,곽도원,6879908,곡성,387
388,에디 레드메인,4662534,신비한 동물사전,388
389,라이언 레놀즈,3317196,데드풀,389
390,에바 그린,2718158,미스 페레그린과 이상한 아이들의 집,390
391,닐 세티,2537438,정글북,391
392,김혜수,2108273,굿바이 싱글,392
393,빌 풀만,1500830,인디펜던스 데이 : 리써전스,393
394,트래비스 핌멜,1163274,워크래프트: 전쟁의 서막,394
395,서하늬,1153109,미씽: 사라진 여자,395
396,테레사 팔머,1111284,라이트 아웃,396
397,김현빈,1069864,오빠생각,397
398,강예원,1063442,"날, 보러와요",398
399,제인 레비,1003406,맨 인 더 다크,399
400,김율호,974262,"고산자, 대동여지도",400
401,에밀리아 클라크,945172,미 비포 유,401
402,알렉산더 스카스가드,858402,레전드 오브 타잔,402
403,이미연,848148,좋아해줘,403
404,르네 젤위거,820995,브리짓 존스의 베이비,404
405,김정희,653287,그날의 분위기,405
406,펠리시티 존스,596487,로그 원: 스타워즈 스토리,406
407,멜리사 맥카시,515553,고스트버스터즈,407
408,윤여정,482516,계춘할망,408
409,이성민,476665,"로봇, 소리",409
410,메리 엘리자베스 윈스티드,357736,클로버필드 10번지,410
411,엘리자베스 리저,331877,위자: 저주의 시작,411
412,류덕환,308398,위대한 소원,412
413,도경수,240484,순정,413
414,태런 에저튼,226341,독수리 에디,414
415,조셉 파인즈,176122,부활,415
416,오달수,169984,대배우,416
417,알 파치노,149095,미스컨덕트,417
418,존 크랜신스키,145952,13시간,418
419,클로이 모레츠,135874,제 5침공,419
420,마크 라이런스,125800,마이 리틀 자이언트,420
421,브라이스 달라스 하워드,109137,피터와 드래곤,421
422,이드리스 엘바,96579,바스티유 데이,422
423,크리스 프랫,401,패신저스,423
424,마이클 매드슨,1,플립,424
425,이수민,12186327,택시운전사,425
426,제이콥 배덜런,7258678,스파이더맨: 홈 커밍,426
427,김규백,5653270,청년경찰,427
428,지창욱,2515501,조작된 도시,428
429,정우,2421197,재심,429
430,갤 가돗,2165401,원더 우먼,430
431,다니엘 칼루야,2138174,겟 아웃,431
432,스테파니 시그만,1934270,애나벨 : 인형의 주인,432
433,톰 히들스턴,1689717,콩: 스컬 아일랜드,433
434,제시카 로테,1382650,해피 데스데이,434
435,강소백,1373316,브이아이피,435
436,마이클 패스벤더,1307226,에이리언: 커버넌트,436
437,김옥빈,1208081,악녀,437
438,조진웅,1204600,해빙,438
439,캐서린 윈닉,1028384,지오스톰,439
440,마크 해밀,946547,스타워즈: 라스트 제다이,440
441,오웬 티그,888836,그것,441
442,케네스 브래너,863567,오리엔트 특급 살인,442
443,안셀 엘고트,822769,베이비 드라이버,443
444,윤제문,647305,아빠는 딸,444
445,맨디 무어,590045,47 미터,445
446,타라지 P. 헨슨,449518,히든 피겨스,446
447,백윤식,446780,반드시 잡는다,447
448,임시완,435048,원라인,448
449,황인아,353517,석조저택 살인사건,449
450,진남수,351276,싱글라이더,450
451,틸다 스윈튼,322157,옥자,451
452,라이언 고슬링,321424,블레이드 러너 2049,452
453,제이미 도넌,189620,50가지 그림자: 심연,453
454,고두심,177428,채비,454
455,테렌스 하워드,4290816,아이언맨,455
456,마리아 벨로,4090885,미이라 3:황제의 무덤,456
457,마이클 케인,4060490,다크 나이트,457
458,한은정,3728430,신기전,458
459,매기 그레이스,2359061,테이큰,459
460,김영호,2341521,미인도,460
461,올가 큐리렌코,2205159,007 퀀텀 오브 솔러스,461
462,헤이든 크리스텐슨,1665268,점퍼,462
463,김재욱,1181233,서양 골동 양과자점 앤티크,463
464,카밀라 벨,1134364,"10,000 BC",464
465,킴 캐트럴,1067550,섹스 앤 더 시티,465
466,윌 켐프,1044659,스텝업 2 : 더 스트리트,466
467,매기 큐,1025302,삼국지:용의 부활,467
468,조현재,936945,GP 506,468
