,actor1,actorPower,movieNm,actor_var
600,페넬로페 크루즈,3130046,캐리비안의 해적: 낯선 조류,600
601,재뉴어리 존스,2533852,엑스맨: 퍼스트 클래스,601
602,김미경,1887731,글러브,602
603,이문식,1717566,평양성,603
604,스튜어트 타운젠드,1694562,토르: 천둥의 신,604
605,뱅상 카셀,1623310,블랙 스완,605
606,오다기리 조,1586042,마이 웨이,606
607,미쉘 로드리게즈,1307873,월드 인베이젼,607
608,탕웨이,845845,만추,608
609,제프리 러쉬,806248,킹스 스피치,609
610,함은정,790954,화이트: 저주의 멜로디,610
611,신세경,771699,푸른소금,611
612,김규리,714136,풍산개,612
613,김동욱,672314,고양이: 죽음을 보는 두 개의 눈,613
614,올랜도 블룸,660172,삼총사 3D,614
615,알렉스 페티퍼,654386,아이 엠 넘버 포,615
616,킬리언 머피,616943,인 타임,616
617,김수정,534752,챔프,617
618,휴고 위빙,514309,퍼스트 어벤져,618
619,엘르 패닝,472125,슈퍼 에이트,619
620,리차드 록스버그,465039,생텀,620
621,론 펄먼,435201,시즌 오브 더 위치: 마녀 호송단,621
622,매튜 매커너히,327612,링컨 차를 타는 변호사,622
623,서영희,316990,세상에서 가장 아름다운 이별,623
624,박원상,8839,부러진 화살,624
625,이정진,8817,원더풀 라디오,625
626,장-루이 트린티냥,2983,남과 여,626
627,비비안 리,2801,바람과 함께 사라지다,627
628,주혜민,114,사랑에 대한 모든 것,628
629,데미 무어,16,은밀한 유혹,629
630,루니 마라,0,밀레니엄 : 여자를 증오한 남자들,630
631,엠마 스톤,4853123,어메이징 스파이더맨,631
632,강지원,4515833,연가시,632
633,한가인,4111068,건축학개론,633
634,한혜진,2940475,26년,634
635,박시후,2729798,내가 살인범이다,635
636,이안 맥켈런,2605124,호빗: 뜻밖의 여정,636
637,하비에르 바르뎀,2376145,007 스카이폴,637
638,테일러 키치,2241687,배틀쉽,638
639,배두나,1872681,코리아,639
640,오마 사이,1720472,언터처블: 1%의 우정,640
641,최다니엘,1646142,공모자들,641
642,이여진,1612554,하울링,642
643,이요원,1552055,용의자X,643
644,성유리,1346754,차형사,644
645,박시연,1246185,간기남,645
646,케이트 베킨세일,1219637,토탈 리콜,646
647,유준상,1201944,R2B: 리턴투베이스,647
648,남보라,972962,돈 크라이 마미,648
649,캐서린 맥코믹,953871,스텝업4 : 레볼루션,649
650,조쉬 허처슨,607956,헝거게임: 판엠의 불꽃,650
651,고아라,587291,파파,651
652,미쉘 파이퍼,582126,다크 섀도우,652
653,미셸 로드리게즈,558433,레지던트 이블 5 : 최후의 심판,653
654,김지석,426706,두 개의 달,654
655,알렉스 러셀,384398,크로니클,655
656,도미닉 쿠퍼,344876,링컨: 뱀파이어 헌터,656
657,노강민,331760,무서운 이야기,657
658,장쯔이,298086,위험한 관계,658
659,더못 멀로니,292217,더 그레이,659
660,김현정,283449,네버엔딩 스토리,660
661,로비 벤슨,145235,미녀와 야수,661
662,할리 베리,3684,클라우드 아틀라스,662
663,지대한,2328,마이 리틀 히어로,663
664,페이 더너웨이,432,차이나타운,664
665,박신혜,12811206,7번방의 선물,665
666,박기웅,6959083,은밀하게 위대하게,666
667,이경영,5584139,더 테러 라이브,667
668,미레유 에노스,5237525,월드 워 Z,668
669,도널 글리슨,2856065,어바웃 타임,669
670,칼 어번,1605271,스타트렉 다크니스,670
671,캐리 뮬리건,1445248,위대한 개츠비,671
672,제이 코트니,1438056,다이하드: 굿 데이 투 다이,672
673,이태리,1422844,런닝맨,673
674,김효진,1212843,결혼전야,674
675,조디 포스터,1207732,엘리시움,675
676,사나다 히로유키,1075333,더 울버린,676
677,한예리,1048280,동창생,677
678,로자문드 파이크,784031,잭 리처,678
679,패트릭 윌슨,577748,인시디어스: 두번째 집,679
680,제이미 캠벨 바우어,571074,섀도우 헌터스: 뼈의 도시,680
681,김범,534273,사이코메트리,681
682,알렉산드리아 다다리오,519584,퍼시 잭슨과 괴물의 바다,682
683,김영현,507913,남자사용설명서,683
684,이종석,451669,노브레싱,684
685,안내상,429141,창수,685
686,아미 해머,387527,론 레인저,686
687,매튜 구드,378874,스토커,687
688,미쉘 윌리엄스,350563,오즈 그레이트 앤드 파워풀,688
689,한성천,270148,롤러코스터,689
690,김민정,252475,밤의 여왕,690
691,캐서린 키너,241514,캡틴 필립스,691
692,조시 게드,225343,잡스,692
693,바네사 레드그레이브,217314,송 포 유,693
694,줄리 델피,203940,비포 미드나잇,694
695,주상욱,192347,응징자,695
696,김민준,175153,톱스타,696
697,이승연,169064,노리개,697
698,아사 버터필드,166533,엔더스 게임,698
699,필립 세이모어 호프만,34571,마스터,699
700,한지민,3441,플랜맨,700
701,이지훈,1258,좋은 친구들,701
702,박철민,1057,또 하나의 약속,702
703,군넬 린드블롬,35,침묵,703
704,제시카 고메즈,5295836,트랜스포머: 사라진 시대,704
705,카야 스코델라리오,2812427,메이즈 러너,705
706,사라 웨인 콜리스,2078698,인투 더 스톰,706
707,김영철,1778083,기술자들,707
