,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
1350,1,37862,54,레전드 오브 타잔
1351,1,-379313,-8618,부산행
1353,9,-493785,-5602,인천상륙작전
1355,0,102086,11,제이슨 본
1356,4,-100270,-1597,국가대표 2
1358,9,-249822,-3888,덕혜옹주
1360,8,-675398,-5022,터널
1362,0,0,0,마이 리틀 자이언트
1363,0,29467,563,스타트렉 비욘드
1365,0,4806,-338,라이트 아웃
1366,0,6960,-112,고스트버스터즈
1367,0,68640,-73,메카닉: 리크루트
1368,4,-22663,-2542,"고산자, 대동여지도"
1369,9,-190096,-5981,밀정
1371,0,-2024,41,거울나라의 앨리스
1372,7,-27232,-1981,매그니피센트 7
1373,3,-22764,-1371,벤허
1385,5,-76596,-1600,브리짓 존스의 베이비
1386,7,-276173,-5600,아수라
1389,6,-78821,-1568,설리: 허드슨강의 기적
1391,7,-47504,-2816,맨 인 더 다크
1392,6,-220824,-5336,럭키
1395,1,-230666,-1291,미스 페레그린과 이상한 아이들의 집
1396,2,-17093,-116,피터와 드래곤
1397,5,-5228,-1234,바스티유 데이
1398,7,-33962,-3134,인페르노
1399,1,-50941,-5144,닥터 스트레인지
1401,0,19285,-222,혼숨
1402,6,-45501,-2911,스플릿
1404,7,-25957,-2666,가려진 시간
1406,0,-30637,-302,위자: 저주의 시작
1407,8,-121779,-4907,형
1409,9,-157242,-6214,신비한 동물사전
1411,8,-69125,-3650,미씽: 사라진 여자
1413,4,-154321,-4928,판도라
1419,0,8751,107,잭 리처: 네버 고 백
1421,3,-63085,-3313,"당신, 거기 있어줄래요"
1423,9,-270653,-6623,마스터
1430,2,-48300,-1507,사랑하기 때문에
1432,7,-48191,-3129,로그 원: 스타워즈 스토리
1434,0,48052,33,패신저스
1437,-3,-11232,438,어쌔신 크리드
1438,0,-49791,198,얼라이드
1440,0,125475,-160,더 킹
1443,0,13507,9,공조
1444,-1,-32414,392,레지던트 이블: 파멸의 날
1445,0,20367,-81,컨택트
1446,8,-141305,-4163,조작된 도시
1447,-1,39232,716,트리플 엑스 리턴즈
1448,1,7757,138,50가지 그림자: 심연
1449,0,7368,-513,재심
1450,0,14710,737,그레이트 월
1451,-1,2654,253,더 큐어
1452,0,23772,-1719,23 아이덴티티
1453,-1,10300,522,싱글라이더
1454,-1,-356,1,존 윅 - 리로드
1455,1,-4652,461,핵소 고지
1456,1,10627,-1623,로건
1457,-1,346363,487,해빙
1458,4,-13265,-1265,히든 피겨스
1459,0,28944,-324,콩: 스컬 아일랜드
1460,7,-104278,-4541,프리즌
1462,0,9610,245,비정규직 특수요원
1463,3,-21500,-2213,보통사람
1464,4,-66654,-1829,원라인
1465,0,81292,532,공각기동대 : 고스트 인 더 쉘
1466,5,-37014,-1866,어느날
1467,3,-19172,-2011,라이프
1470,0,61383,-306,분노의 질주: 더 익스트림
1471,0,4043,-73,아빠는 딸
1472,5,-153935,-4963,임금님의 사건수첩
1473,6,-147561,-5234,특별시민
1474,9,-148490,-4286,보안관
1475,5,-80101,-1989,킹 아서: 제왕의 검
1477,-1,45870,-1882,가디언즈 오브 갤럭시 VOL. 2
1478,3,-59900,-1897,석조저택 살인사건
1479,0,89341,48,에이리언: 커버넌트
1480,6,-44775,-3459,불한당: 나쁜 놈들의 세상
1481,1,-7530,-1371,겟 아웃
1482,0,24163,-444,원더 우먼
1483,0,450219,-277,미이라
1484,6,-55034,-3880,하루
1491,0,15963,-351,악녀
1492,5,-11725,-321,옥자
1493,9,-112029,-5345,박열
1494,8,-99243,-6996,트랜스포머: 최후의 기사
1495,7,-19932,-2393,리얼
1496,8,-251526,-9323,스파이더맨: 홈 커밍
1497,4,-1089875,-8917,택시운전사
1498,-1,-25227,-230,플립
1500,-1,-35451,-703,47 미터
1501,0,69816,771,덩케르크
1502,7,-909748,-10326,군함도
1503,8,-500131,-5240,청년경찰
1504,7,-207118,-3446,애나벨 : 인형의 주인
1505,7,-75249,-2670,장산범
1506,-1,285095,1086,혹성탈출: 종의 전쟁
1507,9,-202963,-4189,브이아이피
1508,0,-88317,-636,킬러의 보디가드
1509,1,-23682,-68,발레리안: 천 개 행성의 도시
1510,-2,4879,540,아토믹 블론드
1511,0,-199291,-984,살인자의 기억법
1512,0,-59905,-100,그것
1513,6,-79768,-5356,아이 캔 스피크
1514,0,-10607,-1484,베이비 드라이버
1515,0,23418,260,아메리칸 메이드
1516,7,-365882,-4052,범죄도시
1518,6,-421087,-5420,남한산성
1519,0,-137956,-909,킹스맨: 골든 서클
1520,3,-4270,-1646,블레이드 러너 2049
1521,1,-16467,-2524,희생부활자
1522,6,-67078,-3908,부라더
1523,6,-21660,-2511,대장 김창수
1524,0,29826,-527,지오스톰
1525,0,-184225,-569,토르: 라그나로크
1526,-1,23879,152,침묵
1529,2,-14774,-2308,미옥
1530,1,-112537,-757,해피 데스데이
1531,0,1989,80,채비
1532,8,-468383,-7191,꾼
1534,0,-137391,-2725,저스티스 리그
1535,-1,3683,418,7호실
1536,8,-146755,-3445,기억의 밤
1537,0,-25648,-723,오리엔트 특급 살인
1538,0,-7263,347,반드시 잡는다
1539,-1,14782,344,어쌔신: 더 비기닝
1540,8,-230963,-5823,강철비
1541,0,70720,547,스타워즈: 라스트 제다이
1542,6,-1260631,-8766,신과함께-죄와 벌
1543,0,-107271,664,위대한 쇼맨
