,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
299,-3,57035,70,닌자 어쌔신
301,5,-19520,-1013,여배우들
305,0,27849,343,모범시민
307,7,-153165,-2853,전우치
315,0,-301945,-2037,아바타
321,0,-10189,174,셜록 홈즈
329,-2,20680,573,파르나서스 박사의 상상극장
331,3,-5000,-876,앨빈과 슈퍼밴드2
334,6,-34116,-1320,용서는 없다
336,-2,6271,-247,나인
341,5,-20693,-1364,주유소 습격사건 2
342,9,-110813,-2688,의형제
344,-1,28408,-12,하모니
348,-2,28788,793,식객2 : 김치전쟁
349,0,10505,316,꼬마 니콜라
352,-1,41248,55,퍼시 잭슨과 번개 도둑
353,-1,18522,240,평행이론
354,0,26739,176,이상한 나라의 앨리스
356,-5,17123,574,프롬 파리 위드 러브
357,-1,20223,-4,셔터 아일랜드
358,-1,6333,274,육혈포 강도단
359,-2,21376,224,그린 존
360,4,-10285,-1261,반가운 살인자
361,5,-12352,-938,친정엄마
363,1,-2609,-9,베스트셀러
364,-2,-980,71,블라인드 사이드
365,6,-149082,-2377,구르믈 버서난 달처럼
366,9,-104929,-4129,아이언맨 2
367,-3,30283,-1131,대한민국 1%
368,5,-101036,-2735,하녀
378,0,14208,450,로빈 후드
379,4,-12567,-946,내 깡패 같은 애인
380,-1,43115,587,페르시아의 왕자: 시간의 모래
381,2,76755,-45,방자전
384,1,25617,232,엣지 오브 다크니스
385,8,-65719,-2850,포화속으로
387,2,-5000,-667,베스트 키드
388,-1,27896,711,A-특공대
389,-1,22471,561,섹스 앤 더 시티 2
390,7,-64608,-2011,나잇&데이
391,4,-30094,-1649,파괴된 사나이
392,7,-58398,-2416,이클립스
395,4,-20665,-950,마음이2
396,-1,32548,671,이끼
399,2,-37886,-1558,고死 두 번째 이야기: 교생실습
400,3,-39138,-852,오션스
402,0,-6535,-34,인셉션
404,4,-21959,-595,스텝 업 3D
405,9,-165038,-2427,아저씨
410,0,-66490,-1294,솔트
411,-2,66716,523,토이 스토리 3
414,0,505,75,내니맥피 2: 유모와마법소동
415,-1,54621,493,악마를 보았다
417,-3,108996,464,라스트 에어벤더
418,-2,35437,755,피라냐
421,-4,19869,688,킬러스
423,5,-20970,-1521,해결사
426,7,-182970,-2040,시라노; 연애조작단
428,0,-54265,-792,퀴즈왕
429,-1,-110699,-1379,레지던트 이블 4: 끝나지 않은 전쟁 3D
430,4,-173620,-1522,무적자
431,7,-18979,-1381,방가? 방가!
432,6,-11680,-1329,적인걸: 측천무후의 비밀
437,-4,24176,120,먹고 기도하고 사랑하라
438,7,-11291,-781,레터스 투 줄리엣
442,9,-36521,-1873,심야의 F.M.
444,0,-3034,-418,검우강호
447,0,27404,48,부당거래
450,6,-12173,-1303,불량남녀
451,4,-8141,-704,소셜 네트워크
453,0,28030,-92,초능력자
456,0,-9280,-72,언스토퍼블
457,5,-21044,-1281,이층의 악당
459,5,-10473,-1313,워리어스 웨이
460,-3,33411,502,스카이 라인
461,9,-57485,-1911,쩨쩨한 로맨스
464,0,11378,-1052,나니아 연대기: 새벽 출정호의 항해
466,8,-73298,-1939,헬로우 고스트
472,-1,7360,496,김종욱 찾기
476,-3,50152,508,투어리스트
478,-1,80274,646,해리 포터와 죽음의 성물1
484,6,-66705,-1823,황해
488,0,75915,711,라스트 갓파더
492,-2,21884,1293,트론: 새로운 시작
494,1,7036,47,심장이 뛴다
496,-2,12294,225,러브 & 드럭스
497,0,14717,170,시즌 오브 더 위치: 마녀 호송단
498,7,-328919,-3357,조선명탐정 : 각시투구꽃의 비밀
499,-3,32667,840,글러브
501,8,-173121,-2332,평양성
502,-1,-85136,-1484,걸리버 여행기
503,0,-8549,70,상하이
504,8,-61218,-1637,아이들...
505,5,-25509,-1183,만추
517,-4,33977,515,아이 엠 넘버 포
518,2,1587,193,블랙 스완
520,4,25916,-422,컨트롤러
522,0,38814,543,월드 인베이젼
523,-3,8492,719,사랑이 무서워
524,8,-8564,-951,킹스 스피치
529,5,-5449,-826,마이 블랙 미니드레스
530,-2,13459,507,레드 라이딩 후드
531,4,-13527,-1776,위험한 상견례
532,-4,8436,380,줄리아의 눈
533,4,-12253,-1035,세상에서 가장 아름다운 이별
535,-1,6539,224,수상한 고객들
536,0,-13334,-195,분노의 질주: 언리미티드
538,7,-19397,-1656,체포왕
539,0,-153096,328,토르: 천둥의 신
540,5,-39565,-1560,써니
547,5,-23922,-1933,소스 코드
548,6,-71055,-2747,캐리비안의 해적: 낯선 조류
549,8,-42621,-1744,엑스맨: 퍼스트 클래스
552,3,-15244,-819,화이트: 저주의 멜로디
554,5,-15101,-736,링컨 차를 타는 변호사
556,-4,23862,664,슈퍼 에이트
558,-1,18486,521,풍산개
559,8,-207428,-5771,트랜스포머 3
562,5,-19954,-1102,고양이: 죽음을 보는 두 개의 눈
564,4,-79200,-2251,고지전
567,0,111856,921,해리포터와 죽음의 성물2
569,6,-60078,-1954,퀵
570,6,-122427,-2259,최종병기 활
571,8,-32008,-2201,혹성탈출: 진화의 시작
573,3,-33201,-1199,챔프
578,-2,41314,1021,푸른소금
