,movieNm,openDt,rank,scrnCnt,audiCnt,showCnt,nationAtt
0,보헤미안 랩소디,2018-10-31,9,43,6919,43,1
1,벽 속에 숨은 마법시계,2018-10-31,4,563,42726,2016,1
2,할로윈,2018-10-31,5,536,32534,1812,1
3,나츠메 우인장: 세상과 연을 맺다,2018-10-31,9,108,7206,261,2
4,폴란드로 간 아이들,2018-10-31,10,181,4876,257,0
5,바울,2018-10-31,8,205,5922,262,1
