,movieNm,actor1,audiCntAmt
455,마이펫의 이중생활,레이크 벨,2520700
456,마이펫의 이중생활,스티브 쿠건,2520700
457,마이펫의 이중생활,엘리 켐퍼,2520700
458,조작된 도시,안재홍,2515501
459,조작된 도시,지창욱,2515501
460,우리들의 행복한 시간,윤여정,2472160
461,우리들의 행복한 시간,이나영,2472160
462,나는 전설이다,알리스 브라가,2460225
463,보스 베이비,알렉 볼드윈,2452245
464,보스 베이비,스티브 부세미,2452245
465,보스 베이비,리사 쿠드로,2452245
466,이웃사람,천호진,2434435
467,재심,김해숙,2421197
468,화이: 괴물을 삼킨 아이,여진구,2394487
469,007 스카이폴,하비에르 바르뎀,2376266
470,007 스카이폴,주디 덴치,2376266
471,가문의 영광4 - 가문의 수난,임형준,2368267
472,가문의 영광4 - 가문의 수난,김수미,2368267
473,가문의 영광4 - 가문의 수난,신현준,2368267
474,블라인드,엘렌 도리트 페테르센,2367942
475,블라인드,유승호,2367942
476,블라인드,헨릭 라파엘센,2367942
477,블라인드,조희봉,2367942
478,박열,최희서,2359206
479,박열,김인우,2359206
480,테이큰,매기 그레이스,2359061
481,미인도,김영호,2342579
482,미인도,김민선,2342579
483,모아나,아우이 크라발호,2310206
484,모아나,알란 터딕,2310206
485,테이큰 2,팜키 얀센,2308596
486,음란서생,김민정,2304368
487,이글 아이,도니 제프콧,2292172
488,이글 아이,미셸 모나한,2292172
489,하녀,주증녀,2267579
490,하녀,사노 슈지,2267579
491,하녀,이은심,2267579
492,하녀,김진규,2267579
493,하녀,히다리 사치코,2267579
494,하녀,시시도 조,2267579
495,컨저링,패트릭 윌슨,2262758
496,컨저링,릴리 테일러,2262758
497,컨저링,베라 파미가,2262758
498,배트맨 대 슈퍼맨: 저스티스의 시작,헨리 카빌,2256913
499,배트맨 대 슈퍼맨: 저스티스의 시작,벤 애플렉,2256913
500,7광구,김성태,2242510
501,배틀쉽,테일러 키치,2241687
502,배틀쉽,알렉산더 스카르가드,2241687
503,슈렉 포에버,에디 머피,2224118
504,어거스트 러쉬,조나단 리스 마이어스,2207595
505,어거스트 러쉬,프레디 하이모어,2207595
506,어거스트 러쉬,케리 러셀,2207595
507,박쥐,김옥빈,2206948
508,007 퀀텀 오브 솔러스,올가 큐리렌코,2205160
509,007 퀀텀 오브 솔러스,매티유 아맬릭,2205160
510,강남 1970,이민호,2192276
511,강남 1970,정진영,2192276
512,로건,패트릭 스튜어트,2169109
513,로건,보이드 홀브룩,2169109
514,"나니아 연대기-사자,마녀 그리고 옷장",스캔더 킨즈,2168613
515,"나니아 연대기-사자,마녀 그리고 옷장",조지 헨리,2168613
516,원더 우먼,갤 가돗,2165401
517,원더 우먼,크리스 파인,2165401
518,원더 우먼,로빈 라이트,2165401
519,이상한 나라의 앨리스,리차드 하이든,2147012
520,이상한 나라의 앨리스,캐서린 보몬트,2147012
521,이상한 나라의 앨리스,헬레나 본햄 카터,2147012
522,이상한 나라의 앨리스,에드 윈,2147012
523,마이 웨이,오다기리 조,2142670
524,마이 웨이,판빙빙,2142670
525,나의 사랑 나의 신부,신민아,2141155
526,나의 사랑 나의 신부,윤정희,2141155
527,겟 아웃,브래들리 휘트포드,2138174
528,겟 아웃,다니엘 칼루야,2138174
529,겟 아웃,앨리슨 윌리암스,2138174
530,내 사랑 내 곁에,남능미,2135509
531,초능력자,김한나,2130645
532,굿바이 싱글,김현수,2108561
533,내부자들: 디 오리지널,신지수,2084868
534,논스톱,미쉘 독커리,2084482
535,장화신은 고양이,자크 갈리피아나키스,2080445
536,장화신은 고양이,안토니오 반데라스,2080445
537,장화신은 고양이,셀마 헤이엑,2080445
538,인투 더 스톰,사라 웨인 콜리스,2078825
539,인투 더 스톰,제레미 섬터,2078825
540,쩨쩨한 로맨스,최강희,2067538
541,쩨쩨한 로맨스,류현경,2067538
542,뷰티 인사이드,김대명,2057896
543,뷰티 인사이드,도지한,2057896
544,혹성탈출: 종의 전쟁,스티브 잔,2051315
545,봉이 김선달,조재현,2051277
546,노아,로건 레먼,2026594
547,테이큰 3,팜케 얀센,2006561
548,색즉시공 시즌2,최성국,2002423
549,트로이,다이앤 크루거,2001293
550,트로이,에릭 바나,2001293
551,박물관이 살아있다 2,벤 스틸러,1972440
552,박물관이 살아있다 2,로빈 윌리엄스,1972440
553,페르시아의 왕자: 시간의 모래,제이크 질렌할,1970823
554,페르시아의 왕자: 시간의 모래,젬마 아터튼,1970823
555,애나벨 : 인형의 주인,스테파니 시그만,1934270
556,애나벨 : 인형의 주인,미란다 오토,1934270
557,애나벨 : 인형의 주인,알리시아 벨라 베일리,1934270
558,컨저링 2,프란카 포텐테,1928605
559,혈의 누,지성,1926681
560,혈의 누,박용우,1926681
561,터보,폴 지아마티,1925154
562,터보,마이클 페나,1925154
563,"색, 계",탕웨이,1925102
564,천사와 악마,이완 맥그리거,1906687
565,천사와 악마,톰 행크스,1906687
566,수어사이드 스쿼드,마고 로비,1898220
567,수어사이드 스쿼드,자레드 레토,1898220
568,그림자 살인,송요셉,1892467
569,그림자 살인,류덕환,1892467
570,오늘의 연애,이서진,1891993
571,오늘의 연애,문채원,1891993
572,오늘의 연애,이승기,1891993
573,내 머리 속의 지우개,데이비드 맥기니스,1887850
574,글러브,김혜성,1887733
575,글러브,김미경,1887733
576,코리아,한예리,1872682
577,연애의 온도,최무성,1865354
578,댄서의 순정,박건형,1856761
579,댄서의 순정,김은경,1856761
580,노무현입니다,이상호,1855149
581,노무현입니다,노무현,1855149
582,집으로 가는 길,류태호,1854711
583,퍼시 잭슨과 번개 도둑,피어스 브로스넌,1846180
584,해결사,이정진,1843404
585,해결사,존 에이브러햄,1843404
586,해결사,이영수,1843404
587,나의 PS 파트너,김아중,1831741
588,나의 PS 파트너,신소율,1831741
589,007 스펙터,크리스토프 왈츠,1820842
590,악마를 보았다,조승민,1817069
591,아내가 결혼했다,주상욱,1799447
592,저스티스 리그,제이슨 모모아,1786383
593,작전명 발키리,빌 나이히,1784165
594,나를 찾아줘,닐 패트릭 해리스,1764233
595,나를 찾아줘,로자먼드 파이크,1764233
596,대호,김상호,1762742
597,대호,정만식,1762742
598,제보자,유연석,1755181
599,내셔널 트레져:비밀의 책,니콜라스 케이지,1745669
600,내셔널 트레져:비밀의 책,존 보이트,1745669
601,전설의 주먹,이요원,1744585
602,이미테이션 게임,매튜 구드,1744146
603,씽,리즈 위더스푼,1730773
604,러브픽션,이병준,1726227
605,러브픽션,공효진,1726227
606,언터처블: 1%의 우정,프랑수아 클뤼제,1721611
607,언터처블: 1%의 우정,오마 사이,1721611
608,실미도,허준호,1719167
609,평양성,이문식,1717566
610,샌 안드레아스,알렉산드리아 다다리오,1716455
611,바람피기 좋은 날,이종혁,1708979
612,바람피기 좋은 날,윤진서,1708979
613,토르: 천둥의 신,스텔란 스카스가드,1694562
614,토르: 천둥의 신,스튜어트 타운젠드,1694562
615,콩: 스컬 아일랜드,브리 라슨,1689717
616,피끓는 청춘,이종석,1676040
617,피끓는 청춘,이세영,1676040
618,23 아이덴티티,헤일리 루 리차드슨,1675819
619,23 아이덴티티,안야 테일러 조이,1675819
620,불꽃처럼 나비처럼,최경원,1670652
621,점퍼,헤이든 크리스텐슨,1665268
622,점퍼,레이첼 빌슨,1665268
623,점퍼,제이미 벨,1665268
624,마다가스카의 펭귄,톰 맥그라스,1661388
625,그대를 사랑합니다,송재호,1649407
626,그대를 사랑합니다,윤소정,1649407
627,아이스 에이지 4: 대륙 이동설,존 레귀자모,1648110
628,아이스 에이지 4: 대륙 이동설,레이 로마노,1648110
629,아이스 에이지 4: 대륙 이동설,데니스 리어리,1648110
630,마다가스카3 : 이번엔 서커스다!,크리스 록,1635088
631,마다가스카3 : 이번엔 서커스다!,데이빗 쉼머,1635088
632,고死 : 피의 중간고사,김범,1634192
633,고死 : 피의 중간고사,남규리,1634192
634,두근두근 내 인생,김승욱,1624601
635,두근두근 내 인생,송혜교,1624601
636,블랙 스완,밀라 쿠니스,1623518
637,우아한 거짓말,김희애,1619601
638,우아한 거짓말,고아성,1619601
639,우아한 거짓말,김유정,1619601
640,하울링,이여진,1612554
641,스타트렉 다크니스,칼 어번,1607555
642,밀양,조영진,1604439
643,라이프 오브 파이,이르판 칸,1593463
644,라이프 오브 파이,수라즈 샤르마,1593463
645,라이프 오브 파이,라프 스팰,1593463
646,300: 제국의 부활,설리반 스탭플턴,1593116
647,300: 제국의 부활,레나 헤디,1593116
648,라디오 스타,김현아,1590757
649,위플래쉬,J.K. 시몬스,1589048
650,위플래쉬,마일즈 텔러,1589048
651,오페라의 유령,에미 로섬,1577188
652,지구가 멈추는 날,제니퍼 코넬리,1576492
653,지구가 멈추는 날,키아누 리브스,1576492
654,적벽대전:거대한 전쟁의 시작,장첸,1572064
655,로빈 후드,막스 본 시도우,1570681
656,무적자,송승헌,1546132
657,원스어폰어타임,이보영,1544486
658,원스어폰어타임,서민균,1544486
